id,authors,title,workshop
MixReal-57,Ahmad Albawaneh: Oakland University; Venkata Agnihothram: Oakland University; Jiang Wu: Oakland University; Goutam Singla: Oakland University; Hyungil Kim: Oakland University,Augmented Reality for Warehouse:  Aid System for Foreign Workers,XRIOS
MixReal-58,Yifan Li: University of Calgary; Byung-Kuk Seo PhD: Electronics and Telecommunications Research Institute (ETRI); Kangsoo Kim: University of Calgary,Exploring Industrial Uses of Virtually Altering the Physical World,XRIOS
MixReal-59,Anh Nguyen: University of Calgary; Emma Windfeld: University of Calgary; Michael Francis: University of Calgary; Guillaume Lhermie: University of Calgary; Kangsoo Kim: University of Calgary,A Virtual Farm Tour for Public Education about Dairy Industry,XRIOS
MixReal-60,Jason Wolfgang Woodworth: University of Louisiana at Lafayette; Andrew Yoshimura: University of Louisiana at Lafayette; Nicholas Lipari: University of Louisiana at Lafayette; Christoph W Borst: University of Louisiana at Lafayette,Design and Evaluation of Visual Cues for Restoring and Guiding Visual Attention in Eye-Tracked VR,XRIOS
WIVL-1,"Marcel Krüger (RWTH Aachen University, Germany), Qin Li (RWTH Aachen University, Germany), Torsten W. Kuhlen (RWTH Aachen University, Germany), Tim Gerrits (RWTH Aachen University, Germany)",A Case Study on Providing Immersive Visualization for Neuronal Network Data using COTS Soft- and Hardware,WIVL
WIVL-2,"Elisabeth Mayer (Leibniz Supercomputing Centre, Germany), Rubén Jesús García-Hernández (Ludwig Maximilians Universität München, Germany), Daniel Kolb (Leibniz Supercomputing Centre, Germany), Jutta Dreer (Leibniz Supercomputing Centre, Germany), Simone Müller (Leibniz Supercomputing Centre, Germany), Thomas Odaker (Leibniz Supercomputing Centre, Germany), Dieter Kranzlmüller (Leibniz Supercomputing Centre, Germany)","Ten Years Center for Immersive Visualizations - Past, Present, and Future",WIVL
WIVL-3,"Markus Flatken (German Aerospace Center (DLR)), Simon Schneegans (University of Bremen), Riccardo Fellegara (German Aerospace Center (DLR)), Andreas Gerndt (University of Bremen)",Immersive and Interactive 3D Visualization of Large-Scale Geo-Scientific Data,WIVL
WIVL-4,"Lap-Fai Yu (George Mason University), Changyang Li (George Mason University), Yongqi Zhang (George Mason University), Rawan Alghofaili (George Mason University), Haikun Huang (George Mason University), Liuchuan Yu (George Mason University), Huimin Liu (Purdue University), Minsoo Choi (Purdue University), Brenda Bannan (George Mason University), Christos Mousas (Purdue University)",Establishing Design Computing and Extended Reality Facilities for Remote Virtual Reality Training,WIVL
WIVL-5,Thomas Wischgoll (Wright State University),Center for Cyber-Physical Systems: Immersive Visualization and Simulation Environment,WIVL
WIVL-6,"Rajiv Khadka (Idaho National Laboratory, USA), John Koudelka (Idaho National Laboratory, USA)",Immersive Visualization Lab at Idaho National Laboratory,WIVL
WIVL-7,"Nicholas F. Polys (Virginia Tech), Jayesh Pandey (Virginia Tech)",25 Years so far: Lessons from a Large Scale Immersive Visualization Facility,WIVL
WIVL-8,"Frank Klassner (Villanova University, USA), Andrew Grace (Villanova University, USA)",Campus Visualization Centers: Reflecting and Projecting,WIVL
